date,date_dji,open_dji,high_dji,low_dji,close_dji,adj_close_dji,volume_dji,sma_dji,rsi_dji,slowk_dji,slowd_dji,fastk_dji,fastd_dji,upper_dji,middle_dji,lower_dji,macd_dji,macdsignal_dji,macdhist_dji,roc_dji,rocp_dji,rocr100_dji,adx_dji,adxr_dji,apo_dji,cmo_dji,mom_dji,ppo_dji,trix_dji
2017-06-16,2017-06-16,21335.92969,21384.41992,21308.00977,21384.2793,21384.2793,603260000,21060.631119999995,68.58761859197735,91.87037907354932,89.76643688382148,96.0141442597272,91.39287600494765,21448.361255870626,21340.620118290186,21232.878980709746,85.34368326400363,80.9742216947313,4.369461569272332,0.527965187541346,0.00527965187541353,100.52796518754134,36.74377704309563,29.014758141602034,95.7732871795015,51.4021765635694,112.30859999999666,0.4511216575873531,0.1267586614984051
2017-06-19,2017-06-19,21444.75,21528.99023,21436.08008,21528.99023,21528.99023,289400000,21078.032812666665,73.8725186795782,94.15688117599723,92.83011513377805,100.0,91.39287600494765,21521.083363716763,21382.104435583344,21243.125507449924,102.44200767676375,88.13015035540879,14.311857321354964,1.381262334105826,0.013812623341058183,101.38126233410583,40.921912210507635,32.4309572509443,98.58373397437026,67.82998808299087,293.32030999999915,0.4634858917394718,0.1460613740470018
2017-06-20,2017-06-20,21521.25,21535.0293,21464.24023,21467.14063,21467.14063,310200000,21093.194857,68.56310413718167,90.46999559454655,92.16575194803103,15.87497232707999,70.62970552893582,21550.824653114887,21421.18035680236,21291.536060489834,99.89340598348645,92.051235564768,7.842170418718439,0.6501634925001998,0.006501634925001914,100.6501634925002,44.58834254413715,35.401713725447294,112.31903641026656,43.62164146840875,138.66993000000002,0.5274455957247899,0.14975690932541585
2017-06-21,2017-06-21,21466.39063,21492.61914,21390.0,21410.0293,21410.0293,292500000,21107.669856999997,63.98965789119144,76.4620787550672,87.02965184187032,0.0,38.62499077569342,21567.030904623327,21445.10753353004,21323.184162436755,86.0969942943957,90.0664884746439,-3.969494180248205,0.16593908406692393,0.0016593908406692367,100.16593908406692,42.94966406619502,36.296730872564986,110.23981025641842,24.30558850086486,35.46875,0.5173009189490375,0.1323579733432112
2017-06-22,2017-06-22,21407.98047,21456.4707,21394.81055,21397.28906,21397.28906,270680000,21122.809179666663,62.98040826443375,56.237645494486706,74.38990661470015,0.0,5.291657442360086,21560.75501466878,21453.22633699725,21345.69765932572,72.3160143094683,84.1496637529187,-11.833649443450398,0.17504140617390362,0.0017504140617389966,100.1750414061739,41.5450825136732,37.68945456475036,97.624049102571,20.101713164198653,37.388670000000275,0.4577490370480236,0.10613179528811134
2017-06-23,2017-06-23,21380.91992,21421.78906,21333.89063,21394.75977,21394.75977,368400000,21138.65384133333,62.76874865959731,41.276092325720086,57.99193885842467,0.0,8.940996091647928e-14,21553.89656129551,21450.2649871287,21346.633412961888,60.56567842851291,76.2883353114501,-15.722656882937187,0.04901016233922473,0.0004901016233922012,100.04901016233923,36.8559018206804,35.99962409210218,83.54707653847072,19.168270560634646,10.480470000002242,0.39137862263192424,0.07974306158060607
2017-06-26,2017-06-26,21434.67969,21506.21094,21381.25,21409.55078,21409.55078,241880000,21155.751887999995,63.54041249523704,35.73496364040672,44.4162338202045,13.317509404194139,4.439169801398136,21496.131893478112,21443.265650371875,21390.39940726564,53.012528157378256,68.52973292675948,-15.517204769381223,-0.5547842640272194,-0.0055478426402722205,99.44521573597278,35.81721888532177,36.280497964208706,69.61581064103666,23.2385798469174,-119.43944999999803,0.32584027799034865,0.05976992175842355
2017-06-27,2017-06-27,21411.18945,21440.59961,21310.66016,21310.66016,21310.66016,292170000,21166.709244999995,55.28944796027909,22.626063567653876,33.21237317792689,0.0,4.439169801398136,21498.890415798684,21424.055008414056,21349.21960102943,32.09714235230058,56.38553606860651,-24.288393716305933,-0.7289301947429494,-0.007289301947429513,99.27106980525706,31.55168569422018,36.236798952363905,23.371245641035785,-11.516132325400417,-156.48047000000224,0.10933984103771537,0.027525337830480723
2017-06-28,2017-06-28,21372.35938,21478.75,21372.35938,21454.60938,21454.60938,271510000,21182.537890999996,62.85143071215319,37.07603622257103,31.812354476877204,91.64968192306786,34.98906377575409,21507.839166361227,21414.585587956215,21321.332009551203,38.54589094705443,50.43898769475582,-11.893096747701385,0.20822054643336863,0.0020822054643336416,100.20822054643337,29.28071354499102,36.93452804456408,7.2335747436009115,24.596521125964095,44.58008000000336,0.03381926735861112,0.023937748235502987
2017-06-29,2017-06-29,21487.38086,21487.38086,21197.08008,21287.0293,21287.0293,336750000,21205.207877999997,51.855787379389184,34.23655051250308,31.31288343424266,0.0,30.549893974356042,21521.961026548306,21396.318121594508,21270.67521664071,16.98079127253368,39.286255554015106,-22.305464281481427,-0.515297801000969,-0.0051529780100096866,99.48470219899903,28.742390783712857,35.84602742495394,-17.217146794861037,-13.464222478452534,-110.25976000000082,-0.08048078307890227,-0.00015225078363600986
2017-06-30,2017-06-30,21348.59961,21426.11914,21325.08008,21349.63086,21349.63086,313260000,21228.09492233333,55.02140739877076,50.685979081362326,40.666188605478816,27.092183001130667,39.580621641399595,21502.480481374925,21378.394974621595,21254.309467868265,12.027655501500703,30.200055536510305,-18.172400035009602,-0.21093440863626522,-0.0021093440863626696,99.78906559136374,28.280971274045857,34.91302689385953,-26.78788474357134,-0.1333208437793659,-45.12890999999945,-0.12520924309303239,-0.013219915788231784
2017-07-03,2017-07-03,21392.30078,21562.75,21391.71094,21479.26953,21479.26953,186810000,21250.575911999997,60.77352865277504,51.8720941651269,45.598207919664105,81.1024967208006,36.06489324064385,21533.578368020095,21379.372908934703,21225.167449849312,27.02400868244149,29.1413732518207,-2.117364569379209,0.32564321744259495,0.003256432174426034,100.32564321744259,25.511466379985144,31.183684100332773,-20.75746166664976,22.005749181187543,69.71875,-0.0969859316316391,0.0033078621048954204
2017-07-05,2017-07-05,21492.83008,21505.35938,21404.75977,21478.16992,21478.16992,273690000,21270.02057333333,60.70261687369863,67.79621786269392,56.78476370306106,80.45758876107156,62.88408949433437,21550.345629396565,21394.907422136122,21239.46921487568,34.94534150005711,31.07602933456617,3.8693121654909426,0.786037404483686,0.007860374044836761,100.7860374044837,23.137605042218826,29.4774119637703,-18.418594487164228,21.739392993680372,167.50976000000082,-0.08602138205957559,0.02400822115531387
2017-07-06,2017-07-06,21423.92969,21433.09961,21305.38086,21320.03906,21320.03906,320450000,21282.758203333335,51.41224438626277,62.55534772999656,60.741219919272474,0.0,53.853361827290804,21559.750702225738,21398.225614563475,21236.70052690121,15.778673776145297,25.976910815092545,-10.198237038947248,-0.6272326734853007,-0.006272326734853027,99.3727673265147,21.88226870399634,26.716977199108257,-11.91388756408196,-10.896857440649317,-134.57032000000254,-0.05565493351967869,0.012294946506852256
2017-07-07,2017-07-07,21354.66016,21425.82031,21350.7207,21414.33984,21414.33984,242240000,21296.155534,55.760538216685475,50.94372848055912,60.43176469108321,46.4497573904221,42.302448717164644,21530.058276793523,21399.867584101376,21269.676891409228,16.8714917502366,22.94177112680723,-6.070279376570628,0.5980662600018283,0.005980662600018229,100.59806626000183,20.806266128377057,25.04348983668404,-9.806216794848297,6.535673598334347,127.31054000000222,-0.04582797015229327,0.009895728037512264
2017-07-10,2017-07-10,21381.23047,21446.39063,21371.10938,21408.51953,21408.51953,270340000,21307.00787766667,55.43080798408406,38.67852498563507,50.725867065396926,42.927481779361514,29.792413056594626,21518.45005576938,21401.6506650988,21284.851274428223,16.02045880579317,20.634667019802542,-4.614208214009373,0.2758299213047932,0.0027582992130478585,100.27582992130479,18.95728802128246,23.849839402497658,14.951470256433822,5.343263630002642,58.888670000000275,0.06988831402771298,0.00950242896928799
2017-07-11,2017-07-11,21410.16992,21441.61914,21279.30078,21409.07031,21409.07031,247570000,21317.967578,55.45765040378793,46.60505364635832,45.40910237085085,43.544066968209265,44.307102045997716,21504.452975063836,21403.723219857508,21302.99346465118,14.92420480691726,18.731179615507447,-3.806974808590187,-0.3268231254417442,-0.003268231254417442,99.67317687455825,20.373827357294083,24.32739931566997,24.931813717968907,5.460085614986975,-70.19922000000224,0.11654027361945217,0.009548450838270384
2017-07-12,2017-07-12,21467.92969,21580.78906,21467.92969,21532.14063,21532.14063,267870000,21334.723242333337,61.095875378062644,60.4477953171613,48.57712464971825,100.0,62.15718291585702,21555.199227991834,21420.142189003775,21285.085150015715,31.2253519583428,22.895903729785896,8.329448228556902,0.25128169765407105,0.002512816976540682,100.25128169765406,18.629321658011033,22.070394018998087,23.37046602565897,28.47273543968373,53.97071000000142,0.1091890287247294,0.03066265891191744
2017-07-13,2017-07-13,21537.18945,21568.7207,21512.35938,21553.08984,21553.08984,232270000,21352.871224000006,61.97814551191121,77.36055775199685,61.471135571838836,100.0,81.18135565606985,21578.546171491304,21448.499973589685,21318.453775688067,42.92388625683452,29.57189790546877,13.351988351365751,1.0931067215408818,0.010931067215408817,101.09310672154088,17.13403105862556,20.135818050422195,23.677883205145918,31.770971400614815,233.0507800000014,0.11056239805997574,0.055019766353114896
2017-07-14,2017-07-14,21532.76953,21681.5293,21521.7207,21637.74023,21637.74023,235590000,21369.323242000006,65.39331260106887,87.92993235431368,75.24609514115728,100.0,100.0000000000001,21667.357050983825,21490.4236723278,21313.490293671777,60.42717169440584,39.8569891684478,20.570182525958046,1.0432280036142272,0.010432280036142308,101.04322800361423,19.010711676711683,20.446490190354012,59.07504358976075,43.95417438127852,223.40038999999888,0.2756213226408301,0.08659766005107983
2017-07-17,2017-07-17,21633.9707,21661.81055,21617.66016,21629.7207,21629.7207,244780000,21383.437630000004,64.79949248967291,89.01516694244735,84.76855234958596,94.0233464100816,98.00778213669396,21700.817091877518,21535.370418566017,21369.923745254517,67.53140658702614,49.08179497464057,18.449611612385567,1.03323898548906,0.010332389854890645,101.03323898548906,20.619295063642646,20.71278059600985,70.42873512822189,41.16808177382043,221.20117000000027,0.32821742197356374,0.10747333851732765
2017-07-18,2017-07-18,21589.93945,21589.93945,21471.14063,21574.73047,21574.73047,251110000,21396.460677000003,60.72731281861071,75.4111506910191,84.1187499959267,0.0,64.67444880336063,21652.298095606166,21568.880426813557,21485.46275802095,61.2688070687509,53.14413233934402,8.124674729406884,0.7737849313457668,0.007737849313457622,100.77378493134577,18.905016645378534,18.931152333330495,88.89047461540395,22.24145550107723,165.66015999999945,0.4140759371623887,0.10624533898342392
2017-07-19,2017-07-19,21569.25,21640.75,21565.83984,21640.75,21640.75,253040000,21413.27799466667,63.67846180345704,72.57907554507925,79.0017977261819,63.24794518724973,52.42376386577721,21669.222837780388,21596.847871519712,21524.472905259037,64.3651562588384,56.88447364584214,7.4806826129962545,0.5044058176393085,0.005044058176393133,100.50440581763931,16.6451567320007,18.50949204464739,100.29447166668979,34.53505789814078,108.60936999999831,0.46660743145743744,0.10623897575550156
2017-07-20,2017-07-20,21641.53906,21661.91016,21576.96094,21611.7793,21611.7793,313950000,21427.880989666675,61.49467969106694,65.82156338604062,71.27059654071299,16.44592602299613,26.564623736748725,21664.657297817044,21616.06835813816,21567.479418459276,59.49505958914233,57.75466896027554,1.7403906288667912,0.2723018390202059,0.002723018390202088,100.2723018390202,15.396966264057818,17.013143961034427,93.40231871796641,24.4611451930199,58.68945999999778,0.43413526567904825,0.09764450928835267
